time;minAirPressure;averageAirPressure;maxAirPressure;rainIntensity
"2021-01-07 09:00:00+01:00";983.3;983.56666666667;983.8;0
"2021-01-07 10:00:00+01:00";983.7;983.85666666667;984;0
"2021-01-07 11:00:00+01:00";983.8;983.955;984.1;0
"2021-01-07 12:00:00+01:00";983.8;983.89;984;0
"2021-01-07 13:00:00+01:00";983.8;984.03833333333;984.2;0
"2021-01-07 14:00:00+01:00";984.1;984.36333333333;984.7;0
"2021-01-07 15:00:00+01:00";984.6;984.81166666667;984.9;0
"2021-01-07 16:00:00+01:00";984.8;985.06833333333;985.2;0
"2021-01-07 17:00:00+01:00";985.2;985.24;985.3;0
"2021-01-07 18:00:00+01:00";985.2;985.23333333333;985.4;0
"2021-01-07 19:00:00+01:00";985.3;985.47166666667;985.6;0
"2021-01-07 20:00:00+01:00";985.5;985.70166666667;985.8;0
"2021-01-07 21:00:00+01:00";985.7;985.94166666667;986;0
"2021-01-07 22:00:00+01:00";986;986.08666666667;986.1;0
"2021-01-07 23:00:00+01:00";986.1;986.14666666667;986.2;0
"2021-01-08 00:00:00+01:00";986.2;986.225;986.3;0
"2021-01-08 01:00:00+01:00";986.3;986.30166666667;986.4;0
"2021-01-08 02:00:00+01:00";986.2;986.36666666667;986.5;0
"2021-01-08 03:00:00+01:00";985.9;986.04833333333;986.3;0
"2021-01-08 04:00:00+01:00";985.9;985.99833333333;986.1;0
"2021-01-08 05:00:00+01:00";986;986.03166666667;986.1;0.023333333333333
"2021-01-08 06:00:00+01:00";986;986.01666666667;986.1;0
"2021-01-08 07:00:00+01:00";986.1;986.1;986.1;0
"2021-01-08 08:00:00+01:00";986.1;986.33333333333;986.6;0
"2021-01-08 09:00:00+01:00";986.6;986.67333333333;986.8;0
"2021-01-08 10:00:00+01:00";986.6;986.635;986.7;0
"2021-01-08 11:00:00+01:00";986.2;986.48;986.6;0
"2021-01-08 12:00:00+01:00";986;986.13333333333;986.3;0
"2021-01-08 13:00:00+01:00";985.9;986.035;986.1;0
"2021-01-08 14:00:00+01:00";986;986.09666666667;986.3;0
"2021-01-08 15:00:00+01:00";986.2;986.31166666667;986.4;0
"2021-01-08 16:00:00+01:00";986.3;986.35833333333;986.4;0
"2021-01-08 17:00:00+01:00";986.4;986.58666666667;986.7;0
"2021-01-08 18:00:00+01:00";986.7;986.86;987.1;0
"2021-01-08 19:00:00+01:00";987.1;987.20666666667;987.3;0
"2021-01-08 20:00:00+01:00";987.3;987.44166666667;987.6;0
"2021-01-08 21:00:00+01:00";987.7;987.78166666667;988;0
"2021-01-08 22:00:00+01:00";988;988.175;988.3;0
"2021-01-08 23:00:00+01:00";988.3;988.42333333333;988.5;0
"2021-01-09 00:00:00+01:00";988.4;988.57833333333;988.7;0
"2021-01-09 01:00:00+01:00";988.6;988.625;988.7;0
"2021-01-09 02:00:00+01:00";988.7;988.7;988.7;0
"2021-01-09 03:00:00+01:00";988.7;988.76;988.8;0
"2021-01-09 04:00:00+01:00";988.8;988.87333333333;989.1;0
"2021-01-09 05:00:00+01:00";989;989.12833333333;989.2;0
"2021-01-09 06:00:00+01:00";989.2;989.39833333333;989.7;0
"2021-01-09 07:00:00+01:00";989.6;990.00166666667;990.4;0
"2021-01-09 08:00:00+01:00";990.4;990.81;991.1;0
"2021-01-09 09:00:00+01:00";991.1;991.20166666667;991.4;0
"2021-01-09 10:00:00+01:00";991;991.195;991.3;0
"2021-01-09 11:00:00+01:00";990.9;991.00666666667;991.1;0
"2021-01-09 12:00:00+01:00";990.9;991.045;991.1;0
"2021-01-09 13:00:00+01:00";991.1;991.14666666667;991.2;0
"2021-01-09 14:00:00+01:00";991.1;991.47666666667;991.8;0
"2021-01-09 15:00:00+01:00";991.8;992.08;992.4;0
"2021-01-09 16:00:00+01:00";992.4;992.695;992.9;0
"2021-01-09 17:00:00+01:00";992.9;993.06;993.2;0
"2021-01-09 18:00:00+01:00";993.2;993.25333333333;993.4;0
"2021-01-09 19:00:00+01:00";993.4;993.48833333333;993.5;0
"2021-01-09 20:00:00+01:00";993.5;993.68833333333;993.9;0
"2021-01-09 21:00:00+01:00";993.8;994.065;994.3;0
"2021-01-09 22:00:00+01:00";994.3;994.395;994.5;0
"2021-01-09 23:00:00+01:00";994.4;994.49166666667;994.5;0
"2021-01-10 00:00:00+01:00";994.5;994.57166666667;994.6;0
"2021-01-10 01:00:00+01:00";994.6;994.81166666667;995;0
"2021-01-10 02:00:00+01:00";995;995.075;995.1;0
"2021-01-10 03:00:00+01:00";995;995.04833333333;995.1;0
"2021-01-10 04:00:00+01:00";994.9;995.01666666667;995.1;0
"2021-01-10 05:00:00+01:00";995;995.15166666667;995.3;0
"2021-01-10 06:00:00+01:00";995.3;995.3;995.3;0
"2021-01-10 07:00:00+01:00";995.3;995.42666666667;995.7;0
